TA_Name,TA_code
Far North District,1
Whangarei District,2
Kaipara District,3
Rodney District,4
North Shore City,5
Waitakere City,6
Auckland City,7
Manukau City,8
Papakura District,9
Franklin District,10
Thames Coromandel District,11
Hauraki District,12
Waikato District,13
Matamata Piako District,14
Hamilton City,16
Waipa District,17
Otorohanga District,18
South Waikato District,19
Waitomo District,20
Taupo District,21
Western Bay of Plenty District,22
Tauranga City,23
Thames Coromandel District,23
Rotorua District,24
Whakatane District,25
Kawerau District,26
Opotiki District,27
Gisborne District,28
Wairoa District,29
Hastings District,30
Napier City,31
Central Hawkes Bay District,32
New Plymouth District,33
Stratford District,34
South Taranaki District,35
Ruapehu District,36
Whanganui District,37
Rangitikei District,38
Manawatu District,39
Palmerston North City,40
Tararua District,41
Horowhenua District,42
Kapiti Coast District,43
Porirua City,44
Upper Hutt City,45
Lower Hutt City,46
Wellington City,47
Masterton District,48
Carterton District,49
South Wairarapa District,50
Tasman District,51
Nelson City,52
Marlborough District,53
Kaikoura District,54
Buller District,55
Grey District,56
Westland District,57
Hurunui District,58
Waimakariri District,59
Christchurch City,60
Banks Peninsula District,61
Selwyn District,62
Ashburton District,63
Timaru District,64
MacKenzie District,65
Waimate District,66
Chatham Islands,67
Waitaki District,68
Central Otago District,69
Queenstown Lakes District,70
Dunedin City,71
Clutha District,72
Southland District,73
Gore District,74
Invercargill City,75
Auckland - City,76
